sector, block, dbn, mpv, mpv_err, ch0_mpv, ch0_mpv_err, ch1_mpv, ch1_mpv_err, ch2_mpv, ch2_mpv_err, ch3_mpv, ch3_mpv_err
3, 14, 272, 227.950303, 9.711385, 234.506368, 11.276052, 202.822121, 7.711208, 252.840993, 10.843783, 221.631733, 9.014498
3, 15, 1261, 200.942951, 14.136898, 231.766526, 24.019719, 183.961935, 9.873177, 221.108523, 10.355427, 166.934821, 12.299267
3, 16, 1274, 241.782334, 11.960584, , , , , 236.707518, 11.817899, 246.857150, 12.103270
3, 17, 1227, 306.769653, 7.381109, 298.265748, 6.943743, 315.273557, 7.818474, , , , 
3, 18, 1242, 271.600323, 8.190584, 279.027915, 7.993287, 238.068208, 8.546273, 278.008479, 7.835741, 291.296690, 8.387036
3, 19, 302, 265.989334, 10.058735, 264.428553, 11.278017, 294.877993, 11.923796, 232.358517, 9.840283, 272.292272, 7.192846
3, 20, 289, 130.399402, 8.977756, , , , , 117.514888, 7.736303, 143.283916, 10.219209
3, 21, 317, 238.241171, 8.998432, 266.666025, 9.862311, 209.816317, 8.134553, , , , 
3, 22, 1200, 271.137007, 10.167451, 291.037446, 17.889327, 273.381185, 8.038133, 261.667554, 7.843925, 258.461844, 6.898419
3, 23, 309, 212.285614, 9.049075, 268.314136, 8.282668, 207.881480, 6.940765, 215.413223, 6.269098, 157.533619, 14.703769
3, 24, 1204, 315.537481, 9.780819, , , , , 313.910220, 10.358627, 317.164742, 9.203011
3, 25, 1186, 212.283904, 10.770444, 195.916967, 12.349373, 228.650841, 9.191515, , , , 
3, 26, 1173, 240.197651, 10.576881, 226.346885, 14.659730, 235.870249, 8.113188, 245.776181, 8.977578, 252.797287, 10.557028
3, 27, 1179, 214.128280, 10.305551, 234.787815, 9.497614, 171.760949, 12.573154, 236.296003, 8.958014, 213.668354, 10.193420
3, 28, 1184, 179.178827, 7.853373, , , , , 184.125369, 6.927955, 174.232285, 8.778791
3, 29, 344, 200.560464, 9.635471, 206.547804, 11.465151, 194.573124, 7.805791, , , , 
3, 30, 352, 224.627036, 10.071786, 246.081634, 8.096383, 208.638249, 8.484485, 224.140623, 11.648167, 219.647637, 12.058108
3, 31, 1135, 255.526006, 9.304788, 300.713138, 12.227033, 242.201947, 10.655044, 277.743485, 7.294424, 201.445455, 7.042649
3, 32, 339, 201.791450, 6.181776, , , , , 196.144304, 5.935673, 207.438595, 6.427879
3, 33, 1099, 244.763681, 9.795639, 261.631832, 11.590295, 227.895530, 8.000982, , , , 
3, 34, 1116, 187.643249, 9.545999, 196.147384, 9.850793, 173.174135, 12.606737, 189.743724, 8.965849, 191.507753, 6.760615
3, 35, 1098, 237.890296, 7.056553, 255.587416, 8.422343, 218.137470, 5.407600, 224.449250, 6.706589, 253.387049, 7.689678
3, 36, 356, 208.812822, 7.906668, , , , , 210.971906, 7.180703, 206.653738, 8.632632
3, 37, 379, 212.345178, 10.852782, 204.975809, 14.081556, 219.714546, 7.624008, , , , 
3, 38, 376, 217.964971, 7.760943, 223.499035, 9.003998, 226.000102, 7.086419, 217.416123, 6.772928, 204.944623, 8.180427
3, 39, 1068, 190.833904, 6.003266, 194.570208, 5.659739, 203.285610, 5.330455, 183.467711, 7.203714, 182.012088, 5.819156
3, 40, 370, 262.565645, 8.167767, , , , , 260.734643, 9.078638, 264.396646, 7.256897
3, 41, 398, 250.646076, 7.972363, 259.174893, 8.188312, 242.117259, 7.756415, , , , 
3, 42, 387, 184.139413, 7.023762, 214.608523, 5.537865, 180.938549, 6.934262, 178.031042, 5.978568, 162.979539, 9.644351
3, 43, 1052, 223.152996, 6.771311, 245.612817, 6.195659, 195.804844, 7.001212, 236.826561, 6.817818, 214.367761, 7.070557
3, 44, 391, 267.988105, 7.305830, , , , , 270.136210, 7.631218, 265.840000, 6.980442
3, 45, 406, 155.343635, 24.104123, 140.097770, 42.409782, 170.589500, 5.798465, , , , 
