DBN, MPV
3630, 406.172104
3628, 364.113918
3642, 385.828215
3678, 343.634661
3537, 423.009651
3543, 435.742364
3554, 339.861736
3599, 370.347278
3515, 352.046057
3459, 396.273036
3489, 350.693373
3493, 320.357273
3217, 425.942436
3219, 377.388474
3352, 571.623137
3350, 380.496132
3243, 398.331413
3310, 393.659269
3322, 529.304197
3329, 489.776535
F22, 553.440397
F206, 807.426906
F210, 385.950594
F621, 719.227479
F213, 641.540603
F220, 630.363871
F271, 595.059211
F277, 581.102590
F166, 775.269915
F168, 720.476586
F222, 814.302337
F223, 555.725572
F135, 647.911641
F136, 590.273738
F169, 790.863946
F172, 683.548965
F185, 600.176059
F188, 652.055618
F190, 708.641695
